    40/599     1.63G   0.04425   0.02341  0.004383   0.07204        13       640    0.9151    0.8635    0.9108    0.4281   0.04156    0.0241  0.004772
    41/599     1.63G   0.04267   0.02304  0.004024   0.06974        14       640    0.9161    0.9024     0.919    0.4314   0.03982   0.02364  0.004064
    42/599     1.63G   0.04392   0.02463  0.004302   0.07285        11       640    0.8959    0.8972    0.9154    0.4433   0.04044    0.0246  0.004519
    43/599     1.63G   0.04153   0.02467  0.003783   0.06999        22       640    0.9085    0.9098    0.9308    0.4456   0.03959   0.02331   0.00576
    44/599     1.63G   0.04085   0.02458  0.003745   0.06917        34       640     0.885    0.8727    0.9206     0.454   0.04179   0.02309  0.005483
    45/599     1.63G   0.04249   0.02303  0.004314   0.06984        11       640    0.9413    0.8531    0.9118    0.4271    0.0396   0.02395  0.005054
    46/599     1.63G   0.04041   0.02241  0.003992   0.06681        26       640    0.9213    0.8926    0.9268    0.4034   0.04175   0.02349  0.005594
    47/599     1.63G   0.04148   0.02297  0.003573   0.06802         8       640    0.9266    0.8975    0.9398    0.4426   0.03999   0.02378  0.004905
    48/599     1.63G   0.04094   0.02349  0.003753   0.06818        23       640    0.9238    0.8883    0.9227    0.4595   0.03968   0.02382  0.005071
    49/599     1.63G   0.04186   0.02316   0.00355   0.06857         9       640    0.9213     0.879    0.9196    0.4444   0.04249   0.02405  0.003557
    50/599     1.63G   0.03866   0.02336  0.003253   0.06527        13       640    0.9196    0.9085    0.9235    0.4647   0.04014   0.02374  0.003772
    51/599     1.63G   0.03775   0.02244  0.003512   0.06371        11       640    0.9106    0.9218    0.9415    0.4625   0.03858   0.02354   0.00292
    52/599     1.63G   0.03933   0.02275  0.003289   0.06537        11       640    0.9286    0.9047    0.9259    0.4731   0.03911   0.02392  0.003646
    53/599     1.63G   0.03957   0.02282  0.003643   0.06604        13       640    0.9328    0.8829    0.9159    0.4382   0.03947   0.02491  0.004369
    54/599     1.63G   0.03862   0.02413  0.003385   0.06613        20       640    0.9304    0.8796    0.9368    0.4496   0.04138   0.02359  0.006441
    55/599     1.63G   0.03914   0.02195  0.003122   0.06421        22       640    0.9123     0.901    0.9274    0.4597   0.03912   0.02394  0.004665
    56/599     1.63G   0.03961   0.02339   0.00307   0.06607        39       640    0.9206    0.9033    0.9266    0.4457   0.03945   0.02364  0.004886
    57/599     1.63G   0.04023   0.02305  0.003001   0.06628        18       640    0.9257    0.8888    0.9317    0.4802   0.04017     0.024  0.006315
    58/599     1.63G   0.03805   0.02248  0.003212   0.06374        28       640    0.9252    0.8932    0.9256     0.446   0.03905   0.02467  0.005832
    59/599     1.63G   0.03804   0.02254  0.003478   0.06406        28       640    0.9002    0.9187    0.9274    0.4788   0.03747   0.02403  0.004208
    60/599     1.63G    0.0353   0.02287  0.002988   0.06116        11       640    0.9466    0.9005    0.9262    0.4698   0.03896   0.02426  0.004053
    61/599     1.63G   0.03922   0.02216  0.003286   0.06467        14       640    0.9548    0.8998    0.9175    0.4284   0.03921   0.02469  0.003912
    62/599     1.63G   0.03828   0.02277  0.003413   0.06447        17       640    0.9323    0.8864    0.9175    0.4645   0.04179   0.02457  0.005491
    63/599     1.63G   0.03961   0.02231  0.003317   0.06524        27       640     0.936    0.9314    0.9386    0.4561   0.03955    0.0241  0.005748
    64/599     1.63G   0.03849   0.02217  0.003068   0.06372        20       640    0.9439    0.9094    0.9312    0.4743   0.03984   0.02378  0.005524
    65/599     1.63G   0.03825   0.02177  0.002893   0.06291        37       640    0.9521    0.8881    0.9282    0.4654   0.03994   0.02409  0.004318
    66/599     1.63G    0.0353   0.02188  0.002982   0.06016         5       640    0.9421    0.8991    0.9319    0.4808   0.03788   0.02398  0.004242
    67/599     1.63G    0.0366   0.02107   0.00293   0.06059        10       640    0.9445    0.9045    0.9188    0.4713   0.03803   0.02397  0.003972
    68/599     1.63G   0.03654   0.02016  0.002909   0.05962        11       640    0.9522    0.8495    0.9077    0.4443    0.0404    0.0242  0.003931
    69/599     1.63G   0.03636   0.02268  0.002458    0.0615        14       640    0.9058    0.9039    0.9176    0.4456   0.03939   0.02422  0.003898
    70/599     1.63G   0.03602   0.02259  0.002826   0.06145        15       640    0.9241    0.8995     0.925    0.4726   0.03784   0.02351  0.002589
    71/599     1.63G   0.03836    0.0235  0.002852   0.06471        16       640    0.9069    0.8751    0.9033    0.4229   0.03926   0.02438  0.003672
    72/599     1.63G   0.03639   0.02136  0.002988   0.06074        16       640    0.9455    0.9007    0.9364    0.4514   0.03817    0.0239  0.002801
    73/599     1.63G   0.03431   0.02139  0.002652   0.05835        25       640     0.939    0.8846    0.9195    0.4377   0.03869    0.0238  0.003104
    74/599     1.63G   0.03627   0.02099  0.003015   0.06028        11       640    0.9169    0.9104    0.9321    0.4623   0.03937   0.02406  0.002744
    75/599     1.63G   0.03723   0.02009  0.003136   0.06046         8       640    0.9207    0.9191     0.931     0.428   0.03869    0.0234  0.003305
    76/599     1.63G   0.03736   0.02187  0.002976    0.0622        19       640    0.9662    0.8954    0.9272    0.4315   0.03941    0.0249   0.00561
    77/599     1.63G   0.03448   0.02201  0.003096   0.05958        22       640    0.9481    0.8933    0.9264    0.4506   0.03941    0.0251  0.003273
    78/599     1.63G   0.03444   0.02167  0.002713   0.05882        26       640    0.9408     0.909    0.9364    0.4898   0.03921   0.02458  0.002101
    79/599     1.63G   0.03836   0.02193  0.002915    0.0632        18       640    0.8531    0.8533    0.8868    0.3926   0.04199   0.02558  0.005301
    80/599     1.63G   0.03824   0.02224  0.003385   0.06387        21       640     0.961    0.8883    0.9371    0.4726   0.03911   0.02522  0.003793
    81/599     1.63G   0.03449   0.02078  0.002806   0.05808        11       640    0.9289    0.8954    0.9236    0.4662   0.04024   0.02575  0.004558
    82/599     1.63G   0.03589   0.02294  0.003018   0.06184        18       640    0.9327    0.9201    0.9249    0.4641   0.03952   0.02342  0.005052
    83/599     1.63G   0.03541   0.02135  0.002763   0.05952         7       640    0.9205    0.9137    0.9284    0.4811   0.03794   0.02363  0.004339
    84/599     1.63G   0.03483   0.02153  0.002805   0.05917        15       640    0.9195    0.8751    0.9127     0.484   0.03859   0.02409  0.002676
    85/599     1.63G   0.03432    0.0223   0.00267   0.05929        24       640     0.918     0.917    0.9317    0.4564   0.03953   0.02414  0.002362
    86/599     1.63G   0.03798   0.02059  0.002835   0.06141        13       640    0.9277    0.8933    0.9149    0.4567   0.04044   0.02435  0.003082
    87/599     1.63G   0.03459   0.02124  0.002972    0.0588        17       640    0.9196    0.9126     0.927    0.4611   0.03875   0.02474  0.003258
    88/599     1.63G   0.03519   0.02194  0.002709   0.05984        27       640    0.9533    0.8946    0.9341    0.4673   0.03824   0.02519  0.002584
    89/599     1.63G   0.03541    0.0213  0.002503   0.05921        10       640    0.9468    0.8927    0.9228     0.457   0.03916   0.02491   0.00271
    90/599     1.63G   0.03404   0.02208  0.002668   0.05878        12       640    0.9506    0.8696    0.9354    0.4635   0.03913   0.02399  0.002503
    91/599     1.63G   0.03279   0.02112  0.002534   0.05644        17       640    0.9473    0.8949    0.9293    0.4738   0.03869    0.0238  0.002621
    92/599     1.63G   0.03431    0.0215  0.002537   0.05835        37       640    0.9512    0.8714    0.9294    0.4821   0.03781   0.02414  0.002419
    93/599     1.63G   0.03359   0.02189   0.00279   0.05826        26       640    0.9463    0.8976    0.9325    0.4754   0.03823   0.02402  0.002756
    94/599     1.63G   0.03317   0.02069  0.002562   0.05643        23       640    0.9514    0.9009     0.935    0.4637   0.03818   0.02434  0.002701
    95/599     1.63G   0.03521   0.02125  0.002914   0.05938        10       640    0.9135    0.9166    0.9336    0.4748   0.03921   0.02427  0.002326
    96/599     1.63G   0.03819   0.02035  0.003105   0.06165        25       640    0.9346    0.9003    0.9255    0.4781   0.03987   0.02455  0.004034
    97/599     1.63G   0.03311   0.02073  0.002564   0.05641         8       640    0.9383    0.9053    0.9397    0.4867   0.03963   0.02411  0.004441
    98/599     1.63G   0.03396   0.02249  0.002251    0.0587        26       640    0.9656    0.8533    0.9296    0.4691   0.03956   0.02463  0.004791
    99/599     1.63G   0.03339   0.02076  0.002259   0.05641        23       640    0.9377    0.8996    0.9299    0.4517   0.04151   0.02479  0.004525
   100/599     1.63G   0.03215   0.02036  0.002433   0.05495        18       640    0.9275    0.9202    0.9264    0.4735   0.03812   0.02455  0.003873
   101/599     1.63G   0.03351   0.02148  0.002481   0.05747        20       640    0.9514    0.8641    0.9174    0.4478   0.04072   0.02513  0.002291
   102/599     1.63G    0.0326   0.02054  0.002676   0.05582        17       640    0.9237    0.8838    0.9129     0.453   0.04084   0.02476  0.003104
   103/599     1.63G   0.03545   0.02111  0.002814   0.05938        11       640    0.9059    0.9081    0.9175    0.4486   0.03963   0.02501  0.004078
   104/599     1.63G   0.03649   0.02037  0.002318   0.05918        16       640    0.9498    0.8749    0.9202    0.4694   0.04072   0.02571  0.004416
   105/599     1.63G     0.034   0.02117  0.002513   0.05768        13       640    0.9295    0.9042    0.9292    0.4733   0.03847   0.02485  0.002939
   106/599     1.63G   0.03358   0.02108  0.002277   0.05693        17       640    0.9434    0.8945    0.9268    0.4706   0.03887   0.02511  0.002486
   107/599     1.63G   0.03287   0.02024  0.002357   0.05547        19       640    0.9479     0.866    0.9138    0.4606   0.03913   0.02533  0.002223
   108/599     1.63G   0.03197    0.0204  0.002738   0.05511        21       640     0.939     0.886    0.9241    0.4685   0.03959   0.02487  0.002242
   109/599     1.63G     0.031   0.01929  0.002401   0.05269        22       640    0.9578    0.8954     0.925    0.4634   0.03931   0.02403  0.002135
   110/599     1.63G   0.03209   0.02076   0.00248   0.05534        12       640    0.9421    0.9241    0.9375    0.4807   0.03831   0.02425  0.002194
   111/599     1.63G   0.03209   0.01968   0.00203    0.0538        24       640    0.9519    0.9073    0.9227    0.4428    0.0385   0.02461  0.002532
   112/599     1.63G   0.03393    0.0207  0.002419   0.05705        27       640    0.9234    0.9205    0.9297    0.4748   0.03891   0.02472   0.00333
   113/599     1.63G   0.03363    0.0206  0.002196   0.05643        16       640    0.9463     0.905    0.9194    0.4685    0.0394   0.02661  0.004618
   114/599     1.63G   0.03086   0.01953  0.002049   0.05244         8       640    0.9327    0.8957    0.9207    0.4748   0.03988    0.0257  0.003731
   115/599     1.63G   0.03184   0.02004  0.002394   0.05427        14       640    0.9477    0.8822    0.9092    0.4624   0.03968   0.02651  0.002433
   116/599     1.63G   0.03063   0.02132  0.002256   0.05421        22       640    0.9215    0.8883    0.9171    0.4697   0.04048   0.02612  0.002408
   117/599     1.63G   0.03151   0.02076  0.002169   0.05444        21       640    0.9434    0.8932    0.9256    0.4538   0.04061   0.02544  0.002279
   118/599     1.63G   0.03297   0.02013  0.002486   0.05558        11       640    0.9368    0.8913    0.9188    0.4576   0.04117   0.02501  0.003356
   119/599     1.63G   0.03379   0.02003  0.002597   0.05642        13       640    0.9168    0.9074    0.9129     0.452   0.03981   0.02451    0.0029
   120/599     1.63G   0.03394   0.01987  0.002375   0.05618        13       640      0.95    0.8869    0.9214    0.4762   0.03974    0.0248  0.002482
