    40/599     6.73G   0.04722   0.02257  0.004625   0.07442       166       640     0.905    0.8054    0.8829    0.3768   0.04722   0.02116  0.005364
    41/599     6.73G   0.04934   0.02263  0.004485   0.07645       166       640    0.8608    0.7447    0.8283    0.3329   0.04792   0.02212  0.008044
    42/599     6.73G   0.04803   0.02271  0.004593   0.07534       149       640    0.9332    0.8194     0.901    0.3615    0.0477   0.02135  0.004241
    43/599     6.73G   0.04528   0.02198  0.004712   0.07197       167       640    0.8755    0.8013    0.8407    0.3029   0.05176   0.02416  0.009245
    44/599     6.73G   0.04747   0.02301  0.004655   0.07514       151       640    0.9282    0.8019    0.8864    0.3772   0.04921   0.02244  0.006143
    45/599     6.73G   0.04683   0.02364  0.005254   0.07572       208       640     0.902    0.8475    0.8769    0.3721   0.04766   0.02221  0.004671
    46/599     6.73G   0.04581   0.02272  0.004873    0.0734       148       640    0.8657    0.6589    0.7132    0.3054   0.05472   0.02523   0.01934
    47/599     6.73G   0.04621   0.02355  0.005032    0.0748       160       640    0.8502    0.7335    0.7933    0.3158   0.04956   0.02359  0.007154
    48/599     6.73G   0.04658   0.02267  0.004899   0.07415       181       640      0.86    0.8275     0.861    0.3749   0.04747   0.02363  0.005916
    49/599     6.73G   0.04344   0.02391  0.004679   0.07203       141       640    0.9117    0.7362    0.8275    0.3546   0.04936   0.02488   0.00823
    50/599     6.73G   0.04384   0.02283   0.00398   0.07065       159       640    0.8715    0.8206    0.8621    0.3977   0.04905   0.02431  0.005803
    51/599     6.73G   0.04211   0.02245  0.003786   0.06834       157       640    0.9325    0.7565     0.861    0.3838   0.04853   0.02425  0.009097
    52/599     6.73G   0.04334   0.02358  0.003932   0.07086       167       640    0.8996    0.8345    0.8901     0.405   0.04649   0.02217   0.00578
    53/599     6.73G   0.04437   0.02249  0.003732   0.07059       159       640    0.8639      0.82    0.8661    0.3855   0.04842   0.02249  0.004309
    54/599     6.73G   0.04193   0.02292  0.004013   0.06886       155       640    0.9147    0.8584    0.8982    0.4041   0.04639    0.0217  0.005261
    55/599     6.73G   0.04312   0.02229  0.003797   0.06922       157       640    0.8883    0.8414    0.8756    0.3944   0.04584   0.02199  0.003748
    56/599     6.73G   0.04259   0.02264  0.004144   0.06938       176       640    0.8579    0.8388    0.8702    0.3751   0.04905   0.02206  0.004599
    57/599     6.73G   0.04293   0.02273  0.003985   0.06965       171       640    0.9149    0.8534    0.8881    0.3993   0.04697   0.02221   0.00444
    58/599     6.73G   0.04125   0.02202  0.003206   0.06647       200       640    0.9304     0.815    0.8839    0.3929   0.04753   0.02274  0.005505
    59/599     6.73G   0.04024   0.02219  0.003284   0.06571       218       640    0.9095    0.8583    0.9034    0.4218   0.04442   0.02187  0.004697
    60/599     6.73G   0.04086   0.02266  0.003095   0.06661       162       640    0.8798    0.8591    0.8939    0.3927   0.04668   0.02104  0.003809
    61/599     6.73G   0.04051   0.02106  0.003384   0.06496       151       640    0.9072    0.8852    0.9125    0.4189   0.04525    0.0211  0.004137
    62/599     6.73G   0.03933   0.02195  0.003005   0.06428       173       640    0.9037    0.8602    0.8981    0.4081   0.04574   0.02218  0.004179
    63/599     6.73G   0.04138   0.02145  0.003033   0.06586       157       640    0.9203      0.88    0.9105    0.4284   0.04455   0.02121  0.004217
    64/599     6.73G   0.03954   0.02135  0.003205   0.06409       177       640    0.9061    0.8522    0.8957    0.3938   0.04565    0.0229  0.004387
    65/599     6.73G   0.03941   0.02127  0.003185   0.06386       177       640    0.9167    0.8704    0.9052    0.4239   0.04499   0.02217  0.004061
    66/599     6.73G   0.03978   0.02133  0.003035   0.06414       174       640    0.8967    0.9137    0.9138     0.409   0.04461   0.02137  0.003355
    67/599     6.73G   0.03896    0.0215  0.002812   0.06327       161       640     0.939     0.856    0.9071    0.4112   0.04594   0.02229  0.003231
    68/599     6.73G   0.04002   0.02082  0.002699   0.06354       135       640     0.924    0.8748    0.9123    0.4113   0.04534   0.02225  0.003822
    69/599     6.73G   0.03955   0.02168  0.003164    0.0644       175       640    0.9592    0.8702    0.9134    0.4201   0.04455   0.02268  0.003503
    70/599     6.73G   0.03905   0.02088  0.003022   0.06295       177       640    0.9426    0.8112    0.8838    0.4105   0.04585   0.02466  0.004088
    71/599     6.73G   0.03898   0.02116  0.002824   0.06296       135       640    0.8701    0.8613    0.9005     0.431    0.0453    0.0215  0.003359
    72/599     6.73G   0.03945   0.02147  0.002768   0.06369       164       640    0.9462    0.8757    0.9204    0.4054   0.04448   0.02119  0.003975
    73/599     6.73G   0.03945   0.02093  0.002822    0.0632       130       640    0.9473    0.8935      0.92    0.4351   0.04365   0.02174  0.004598
    74/599     6.73G   0.03736   0.02099  0.002661   0.06101       175       640    0.9439    0.8777     0.926    0.4294   0.04619   0.02096  0.005263
    75/599     6.73G   0.03817   0.02042  0.002771   0.06136       153       640    0.9303    0.8512     0.906    0.4277   0.04432   0.02191  0.004131
    76/599     6.73G   0.03786   0.02085  0.002735   0.06145       155       640    0.9333    0.8805    0.9196    0.4317    0.0453   0.02092  0.003973
    77/599     6.73G   0.03853   0.02167  0.002551   0.06276       121       640     0.919    0.9056    0.9293    0.4337    0.0445   0.02016  0.004231
    78/599     6.73G   0.03677   0.02056  0.002673      0.06       125       640    0.9477    0.8949    0.9254    0.4299   0.04311   0.02105  0.003723
    79/599     6.73G   0.03695   0.02039  0.002528   0.05987       175       640    0.9175    0.8924    0.9167    0.4291    0.0437   0.02183   0.00407
    80/599     6.73G   0.03726   0.02036  0.002807   0.06043       160       640     0.918    0.9162    0.9212    0.4341   0.04366   0.02182   0.00468
    81/599     6.73G   0.03743   0.02008  0.002587    0.0601       185       640    0.8955    0.8603    0.8915    0.4154   0.04734   0.02373  0.005085
    82/599     6.73G   0.03845   0.02125  0.002887   0.06258       143       640    0.9461    0.8697    0.9265    0.4295   0.04367   0.02125  0.004971
    83/599     6.73G   0.03844   0.02103  0.002676   0.06214       185       640      0.91    0.8709    0.9171    0.4384    0.0459   0.02114  0.004579
    84/599     6.73G   0.03742   0.02033    0.0029   0.06064       138       640    0.9161    0.9033    0.9171    0.4387    0.0435   0.02077  0.004836
    85/599     6.73G   0.03658   0.02028  0.002411   0.05927       184       640    0.9324    0.8962    0.9301    0.4316   0.04427   0.02134  0.003407
    86/599     6.73G   0.03664   0.01991  0.002382   0.05893       201       640    0.8943    0.9282    0.9174    0.4369   0.04367   0.02134  0.003377
    87/599     6.73G   0.03701   0.02051  0.002471   0.05999       173       640    0.9317    0.8884    0.9198    0.4345   0.04491    0.0224     0.003
    88/599     6.73G   0.03629   0.02048  0.002594   0.05937       156       640    0.9168    0.8863    0.9113     0.432   0.04487   0.02206  0.002976
    89/599     6.73G   0.03673   0.02024  0.002379   0.05935       145       640    0.9163    0.8744    0.9029    0.4293   0.04472   0.02312  0.003164
    90/599     6.73G   0.03624   0.01979  0.002426   0.05846       158       640    0.9379    0.8737    0.9047    0.4107   0.04866   0.02246  0.004308
    91/599     6.73G   0.03784    0.0205   0.00256   0.06089       155       640    0.9356    0.8756    0.9068    0.4305   0.04348   0.02259  0.003277
    92/599     6.73G   0.03588   0.02025  0.002382   0.05851       200       640    0.9084    0.8748    0.9063    0.4331   0.04514    0.0223  0.003361
    93/599     6.73G    0.0361   0.02049  0.002239   0.05882       154       640    0.9292    0.8791    0.9035    0.4233   0.04461   0.02253  0.003216
    94/599     6.73G   0.03543   0.01967  0.002572   0.05767       162       640    0.9112    0.8949    0.9167     0.409    0.0447   0.02196  0.003129
    95/599     6.73G   0.03554   0.02018  0.002329   0.05804       151       640    0.8998    0.8477    0.8806    0.3969   0.04627   0.02491  0.005245
    96/599     6.73G   0.03567   0.01979   0.00248   0.05794       179       640    0.9212    0.8614    0.8919    0.4029    0.0454   0.02402  0.004524
    97/599     6.73G   0.03628   0.02013  0.002372   0.05878       129       640    0.9357    0.8834    0.9128    0.4268   0.04498   0.02235  0.003087
    98/599     6.73G   0.03551   0.02003  0.002519   0.05806       177       640    0.9164     0.903    0.9136    0.4177   0.04512   0.02275  0.002834
    99/599     6.73G   0.03506   0.02071  0.002222   0.05799       161       640    0.9365     0.874    0.9146    0.4269   0.04533   0.02259  0.003614
   100/599     6.73G   0.03546   0.02028  0.002437   0.05817       153       640    0.9452    0.8885    0.9116    0.4275   0.04349   0.02264  0.003573
   101/599     6.73G   0.03508   0.02072  0.002304   0.05811       172       640    0.9338    0.8857    0.9093    0.4223   0.04449   0.02281  0.002958
   102/599     6.73G   0.03526   0.02025  0.002025   0.05754       148       640    0.9205    0.8793    0.9115     0.428   0.04422   0.02265  0.002721
   103/599     6.73G   0.03454   0.02004  0.002147   0.05672       157       640    0.9292    0.8928    0.9202    0.4349   0.04399   0.02306  0.002272
   104/599     6.73G    0.0344   0.01944  0.002346   0.05618       186       640    0.9264    0.8995    0.9208    0.4221    0.0446   0.02281  0.002623
   105/599     6.73G   0.03441   0.01863  0.002497   0.05554       154       640    0.9394    0.8829    0.9179    0.4396   0.04433   0.02194  0.003108
   106/599     6.73G    0.0346   0.01956  0.002297   0.05645       155       640    0.9445    0.8654    0.9115    0.4284   0.04639    0.0224  0.004105
   107/599     6.73G   0.03536   0.01988  0.002387   0.05763       157       640    0.9241    0.8696    0.9027    0.4267   0.04434   0.02337  0.004426
   108/599     6.73G   0.03524    0.0206  0.002304   0.05814       205       640    0.9168    0.9008    0.9118    0.4199   0.04407   0.02267  0.004233
   109/599     6.73G   0.03478   0.01947    0.0025   0.05675       171       640    0.9303    0.8973    0.9179     0.429   0.04487   0.02278  0.003816
   110/599     6.73G   0.03469   0.01955    0.0024   0.05664       172       640    0.9275    0.9125    0.9192    0.4336   0.04377   0.02319  0.003041
   111/599     6.73G   0.03449   0.01946  0.002086   0.05603       155       640    0.9318    0.8527    0.8958    0.4093   0.04636   0.02452  0.003681
   112/599     6.73G   0.03424   0.01926  0.002332   0.05584       168       640    0.9085    0.8654    0.8997    0.4189   0.04657   0.02385  0.005995
